Unnamed: 0,country,id,code,title,titleDir,shortTitle,shortTitleDir,yearOfVersion,cntryOrgCode,cntryOrgTitle,cntryOrgType,subjectMatters,subjectMatterTitles,typeOfTexts,typeOfTextTitles,adoptedDate,entryIntoForce,judgmentDate,dates,superseded,repealed,meta,textOrder,url,language,parts,mimeTypes,customTitle,filename
15,BE,18754,,Code de droit économique (Extrait-Dispositions relatives au droit d'obtenteur),ltr,,,2015.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/fr/be/be176fr-extract.pdf,French,,"[{'id': 586547, 'value': 'pdf', 'fileUrl': None}]",True,be176fr-extract.pdf
16,BG,429,,Law on the Protection of New Plant Varieties and Animal Breeds (SG No. 84/1996),ltr,,,1997.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/bg/bg004en.pdf,English,,"[{'id': 125300, 'value': 'pdf', 'fileUrl': None}]",True,bg004en.pdf
17,BA,17714,,Law on the Protection of New Varieties of Plants,ltr,,,2013.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/ba/ba036en.pdf,English,,"[{'id': 463591, 'value': 'pdf', 'fileUrl': None}]",True,ba036en.pdf
18,BY,14936,,"Law of the Republic of Belarus No. 3725 XІІ of April 13, 1995, on Patents for Plant Varieties (amended up to Law No. 108-Z of January 4, 2014)",ltr,,,2014.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/by/by087en.pdf,English,,"[{'id': 391275, 'value': 'pdf', 'fileUrl': None}]",True,by087en.pdf
19,BY,7277,,"Law of the Republic of Belarus No. 3725 XІІ of April 13, 1995, on Patents for Plant Varieties (as amended up to Law No. 109-Z of January 4, 2010)",ltr,,,2010.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/by/by025en.pdf,English,,"[{'id': 224298, 'value': 'pdf', 'fileUrl': None}]",True,by025en.pdf
20,BO,9528,,"Regulations on Protection of Plant Varieties (issued by Ministerial Resolution No. 040 of April 2, 2001, of the Ministry of Agriculture, Livestock and Rural Development (MAGDER))",ltr,,,2001.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/bo/bo037en.pdf,English,,"[{'id': 224277, 'value': 'pdf', 'fileUrl': None}]",True,bo037en.pdf
20,BO,9528,,"Norma Sobre Proteccion De Las Obtenciones Vegetales (emitido por Resolución Ministerial Nº 040 del 02 de abril de 2001 del Ministerio de Agricultura, Ganadería y Desarrollo Rural (MAGDER))",ltr,,,2001.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/es/bo/bo037es.pdf,Spanish,,"[{'id': 357815, 'value': 'pdf', 'fileUrl': None}]",True,bo037es.pdf
21,BO,500,,"Ley N° 1.968 del 24 de marzo de 1999 sobre la aprobación de la adhesión de Bolivia al Convenio Internacional sobre la Protección de las Obtenciones Vegetales de la UPOV del 2 de diciembre de 1961, revisado en Ginebra el 10 de noviembre de 1972 y el 23 de octubre de 1978",ltr,,,1999.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/es/bo/bo011es.pdf,Spanish,,"[{'id': 125369, 'value': 'pdf', 'fileUrl': None}]",True,bo011es.pdf
22,BO,499,,Decision No. 345 of the Commission of the Andean Community Establishing the Common Regime on the Protection of the Rights of Breeders of New Plant Varieties,ltr,,,1993.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/bo/bo010en.pdf,English,,"[{'id': 125363, 'value': 'pdf', 'fileUrl': None}]",True,bo010en.pdf
22,BO,499,,Decisión N° 345 de 21 de octubre de 1993 sobre el Régimen Común de Protección a los Derechos de los Obtentores de Variedades Vegetales,ltr,,,1993.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/es/bo/bo010es.pdf,Spanish,,"[{'id': 125365, 'value': 'pdf', 'fileUrl': None}]",True,bo010es.pdf
22,BO,499,,Décision n° 345 du 21 octobre 1993 sur le régime commun concernant la protection des droits des obtenteurs de variétés végétales,ltr,,,1993.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/fr/bo/bo010fr.pdf,French,,"[{'id': 125367, 'value': 'pdf', 'fileUrl': None}]",True,bo010fr.pdf
23,BR,21005,,"Decree No. 2.366 of November 5, 1997 (Implementing the Plant Variety Protection Law, as amended by Decree No. 10.087 of November 5, 2019) ",ltr,,,2019.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/br/br314en.pdf,English,,"[{'id': 586646, 'value': 'pdf', 'fileUrl': None}]",True,br314en.pdf
24,BR,21006,,"Law No. 9.456 of April 25, 1997 (Plant Variety Protection Law, as amended up to Law No. 13. 606 of January 9, 2018) 
",ltr,,,2018.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/br/br315en.pdf,English,,"[{'id': 586643, 'value': 'pdf', 'fileUrl': None}]",True,br315en.pdf
25,BR,518,,"Decree No. 2.366 of November 5, 1997 (Implementing the Plant Variety Protection Law)",ltr,,,1997.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/br/br006en.pdf,English,,"[{'id': 125405, 'value': 'pdf', 'fileUrl': None}]",True,br006en.pdf
26,BR,517,,"Law No. 9.456 of April 28, 1997 (Plant Variety Protection Law)",ltr,,,1997.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/br/br005en.pdf,English,,"[{'id': 125403, 'value': 'pdf', 'fileUrl': None}]",True,br005en.pdf
27,CA,19114,,"Plant Breeders’ Rights Act (S.C. 1990, c. 20)",ltr,,,2023.0,,,,,,,,,,,,False,False,,,https://wipolex-resources-eu-central-1-358922420655.s3.amazonaws.com/edocs/lexdocs/laws/en/ca/ca225en.pdf,English,,"[{'id': 586652, 'value': 'pdf', 'fileUrl': None}]",True,ca225en.pdf
